"","is.highlightTrue","X.2","grp1","grp2","artist.display.bio_1","artist.nationalityAmerican_1","artist.nationalityFrench_1","artist.nationality_1","artist.roleArtist_1","artist.role_1","city_1","classificationDrawings_1","classificationPaintings_1","classificationPhotographs_1","classificationPrints_1","classification_1","countryEgypt_1","country_1","culture_1","departmentAsianArt_1","departmentCostumeInstitute_1","departmentDrawingsandPrints_1","departmentEgyptianArt_1","departmentEuropeanSculptureandDecorativeArts_1","departmentGreekandRomanArt_1","departmentPhotographs_1","dimensions_1","geography.typeFrom_1","geography.typeMadein_1","geography.type_1","grp3","mediumOiloncanvas_1","object.begin.date","object.end.date","object.namePainting_1","object.namePhotograph_1","object.namePrint_1","region_1"
"97",0,1.43976579120456,-0.686724161740636,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.229669321962,0.264964668747509,0,0,0,1
"98",1,-1.37734954532251,-1.14668787529165,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.456819330361153,0.513188952904723,0,0,0,1
"99",0,0.959067539336843,1.06060062343822,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.233573608552809,-0.273185579305331,0,0,0,0
"100",0,0.965588639652878,0.95534195986217,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.340561452046626,0.560848015462908,0,0,0,1
"101",1,-1.5021820370866,-1.51138069106382,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.938275209413174,-1.01587263750371,0,0,0,1
"102",1,-0.0880348542664708,1.43323719712352,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.31730987638372,0.338439056858044,0,0,0,1
"103",1,-0.708470970049217,0.689566737752933,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.734376776676926,-0.729918262154604,0,0,0,1
"104",0,0.733623785553923,-1.1018822933781,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.340561452046626,0.560848015462908,0,0,0,1
"105",1,-0.692634012138847,0.694591590467965,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24072793952601,-0.181839042735476,0,0,0,1
"106",0,0.445763785888955,-1.238575320626,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0.646409101150997,0.703825203137463,0,0,0,1
"107",0,1.57298255480355,-1.64409409690104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.406739013548741,0.453615124706991,0,0,0,1
"108",0,0.418747798865382,-1.56307705713203,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.161703177716584,0.165674955084623,0,0,0,1
"109",0,1.34288087222347,-1.38789629052138,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.340561452046626,0.493331010172146,0,0,1,1
"110",0,0.541717119110611,0.473350964378548,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.544459884782874,0.594606518108289,0,0,0,1
"111",1,-1.64005672948277,-1.69187278119143,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.372755941426033,0.399998679329033,1,0,0,1
"112",1,-1.10905284660564,-0.378473836403874,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.438933502928149,0.473473067439569,0,1,0,1
"113",0,0.234293818497539,-0.286547678798987,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.633889021947895,0.689924643224659,0,0,0,1
"114",0,0.880814335544424,-0.065384477250633,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.197474832582592,0.237163548921901,0,0,0,1
"115",0,0.605996536511526,-1.49047606497663,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-2.51043944077424,-2.77330056933679,0,0,0,1
"116",1,-1.54410339626111,-1.61791685956742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.00642360015365537,-0.0209897066016015,0,0,0,1
"117",0,0.530538089997408,1.41664511797358,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.519419726376668,0.662123523399051,0,0,1,1
"118",1,-1.36896527348761,-0.95084249867111,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.285442508108521,-0.300986699130939,0,0,0,1
