"","is.highlightTrue","X.2","grp1","grp2","artist.display.bio_1","artist.nationalityAmerican_1","artist.nationalityFrench_1","artist.nationality_1","artist.roleArtist_1","artist.role_1","city_1","classificationDrawings_1","classificationPaintings_1","classificationPhotographs_1","classificationPrints_1","classification_1","countryEgypt_1","country_1","culture_1","departmentAsianArt_1","departmentCostumeInstitute_1","departmentDrawingsandPrints_1","departmentEgyptianArt_1","departmentEuropeanSculptureandDecorativeArts_1","departmentGreekandRomanArt_1","departmentPhotographs_1","dimensions_1","geography.typeFrom_1","geography.typeMadein_1","geography.type_1","grp3","mediumOiloncanvas_1","object.begin.date","object.end.date","object.namePainting_1","object.namePhotograph_1","object.namePrint_1","region_1","object.id"
"2746",0,1.41647614721872,-1.73287681813875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.490802402483861,0.535032689910558,0,0,0,1,5841
"2747",1,-0.597612264676624,0.725739483337877,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1978019536868,-0.203682779741311,0,0,0,1,459199
"2748",0,0.717786827643553,0.16558067119638,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0472338821453572,0.0584420643287069,0,0,1,1,377291
"2749",0,0.164424886540022,0.336309526695864,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.496168150713762,0.537018484183815,0,0,0,1,400077
"2750",0,0.315341779568258,0.868967141851547,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.548037050269474,0.596592312381547,0,0,0,1,487445
"2751",1,-1.09507906021414,-0.367433096848196,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.428202006468346,0.467515684619795,0,1,0,1,283626
"2752",0,0.447626957407822,0.580785257558487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0.0919484507278677,0.0882289784275726,0,0,0,1,432313
"2753",0,1.66148320194974,-1.57159375664903,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-0.0153665138701575,0.165674955084623,0,0,0,1,31495
"2754",0,1.57018779752525,0.0363203998905949,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.340561452046626,0.560848015462908,0,0,0,1,359864
"2755",1,-0.322794465643726,0.935258033910256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.181377587892889,0.187518692090458,0,0,0,1,503008
